Date,Day,Month,Year,Is_Trading_Day,Market_Open,Market_Close,Status
2024-04-01,Monday,April,2024,True,09:15:00,15:30:00,TRADING
2024-04-02,Tuesday,April,2024,True,09:15:00,15:30:00,TRADING
2024-04-03,Wednesday,April,2024,True,09:15:00,15:30:00,TRADING
2024-04-04,Thursday,April,2024,True,09:15:00,15:30:00,TRADING
2024-04-05,Friday,April,2024,True,09:15:00,15:30:00,TRADING
2024-04-06,Saturday,April,2024,False,CLOSED,CLOSED,HOLIDAY
2024-04-07,Sunday,April,2024,False,CLOSED,CLOSED,HOLIDAY
2024-04-08,Monday,April,2024,True,09:15:00,15:30:00,TRADING
2024-04-09,Tuesday,April,2024,False,CLOSED,CLOSED,HOLIDAY
2024-04-10,Wednesday,April,2024,True,09:15:00,15:30:00,TRADING
2024-04-11,Thursday,April,2024,False,CLOSED,CLOSED,HOLIDAY
2024-04-12,Friday,April,2024,True,09:15:00,15:30:00,TRADING
2024-04-13,Saturday,April,2024,False,CLOSED,CLOSED,HOLIDAY
2024-04-14,Sunday,April,2024,False,CLOSED,CLOSED,HOLIDAY
2024-04-15,Monday,April,2024,True,09:15:00,15:30:00,TRADING
2024-04-16,Tuesday,April,2024,True,09:15:00,15:30:00,TRADING
2024-04-17,Wednesday,April,2024,False,CLOSED,CLOSED,HOLIDAY
2024-04-18,Thursday,April,2024,True,09:15:00,15:30:00,TRADING
2024-04-19,Friday,April,2024,True,09:15:00,15:30:00,TRADING
2024-04-20,Saturday,April,2024,False,CLOSED,CLOSED,HOLIDAY
2024-04-21,Sunday,April,2024,False,CLOSED,CLOSED,HOLIDAY
2024-04-22,Monday,April,2024,True,09:15:00,15:30:00,TRADING
2024-04-23,Tuesday,April,2024,False,CLOSED,CLOSED,HOLIDAY
2024-04-24,Wednesday,April,2024,True,09:15:00,15:30:00,TRADING
2024-04-25,Thursday,April,2024,True,09:15:00,15:30:00,TRADING
2024-04-26,Friday,April,2024,True,09:15:00,15:30:00,TRADING
2024-04-27,Saturday,April,2024,False,CLOSED,CLOSED,HOLIDAY
2024-04-28,Sunday,April,2024,False,CLOSED,CLOSED,HOLIDAY
2024-04-29,Monday,April,2024,True,09:15:00,15:30:00,TRADING
2024-04-30,Tuesday,April,2024,True,09:15:00,15:30:00,TRADING
2024-05-01,Wednesday,May,2024,False,CLOSED,CLOSED,HOLIDAY
2024-05-02,Thursday,May,2024,True,09:15:00,15:30:00,TRADING
2024-05-03,Friday,May,2024,True,09:15:00,15:30:00,TRADING
2024-05-04,Saturday,May,2024,False,CLOSED,CLOSED,HOLIDAY
2024-05-05,Sunday,May,2024,False,CLOSED,CLOSED,HOLIDAY
2024-05-06,Monday,May,2024,True,09:15:00,15:30:00,TRADING
2024-05-07,Tuesday,May,2024,True,09:15:00,15:30:00,TRADING
2024-05-08,Wednesday,May,2024,True,09:15:00,15:30:00,TRADING
2024-05-09,Thursday,May,2024,True,09:15:00,15:30:00,TRADING
2024-05-10,Friday,May,2024,True,09:15:00,15:30:00,TRADING
2024-05-11,Saturday,May,2024,False,CLOSED,CLOSED,HOLIDAY
2024-05-12,Sunday,May,2024,False,CLOSED,CLOSED,HOLIDAY
2024-05-13,Monday,May,2024,True,09:15:00,15:30:00,TRADING
2024-05-14,Tuesday,May,2024,True,09:15:00,15:30:00,TRADING
2024-05-15,Wednesday,May,2024,True,09:15:00,15:30:00,TRADING
2024-05-16,Thursday,May,2024,True,09:15:00,15:30:00,TRADING
2024-05-17,Friday,May,2024,True,09:15:00,15:30:00,TRADING
