Date,Day,Month,Year,Is_Trading_Day,Market_Open,Market_Close,Status,Description
1/1/2025,Wednesday,January,2025,TRUE,9:15:00,15:30:00,TRADING,
1/2/2025,Thursday,January,2025,TRUE,9:15:00,15:30:00,TRADING,
1/3/2025,Friday,January,2025,TRUE,9:15:00,15:30:00,TRADING,
1/4/2025,Saturday,January,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
1/5/2025,Sunday,January,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
1/6/2025,Monday,January,2025,TRUE,9:15:00,15:30:00,TRADING,
1/7/2025,Tuesday,January,2025,TRUE,9:15:00,15:30:00,TRADING,
1/8/2025,Wednesday,January,2025,TRUE,9:15:00,15:30:00,TRADING,
1/9/2025,Thursday,January,2025,TRUE,9:15:00,15:30:00,TRADING,
1/10/2025,Friday,January,2025,TRUE,9:15:00,15:30:00,TRADING,
1/11/2025,Saturday,January,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
1/12/2025,Sunday,January,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
1/13/2025,Monday,January,2025,TRUE,9:15:00,15:30:00,TRADING,
1/14/2025,Tuesday,January,2025,TRUE,9:15:00,15:30:00,TRADING,
1/15/2025,Wednesday,January,2025,TRUE,9:15:00,15:30:00,TRADING,
1/16/2025,Thursday,January,2025,TRUE,9:15:00,15:30:00,TRADING,
1/17/2025,Friday,January,2025,TRUE,9:15:00,15:30:00,TRADING,
1/18/2025,Saturday,January,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
1/19/2025,Sunday,January,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
1/20/2025,Monday,January,2025,TRUE,9:15:00,15:30:00,TRADING,
1/21/2025,Tuesday,January,2025,TRUE,9:15:00,15:30:00,TRADING,
1/22/2025,Wednesday,January,2025,TRUE,9:15:00,15:30:00,TRADING,
1/23/2025,Thursday,January,2025,TRUE,9:15:00,15:30:00,TRADING,
1/24/2025,Friday,January,2025,TRUE,9:15:00,15:30:00,TRADING,
1/25/2025,Saturday,January,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
1/26/2025,Sunday,January,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
1/27/2025,Monday,January,2025,TRUE,9:15:00,15:30:00,TRADING,
1/28/2025,Tuesday,January,2025,TRUE,9:15:00,15:30:00,TRADING,
1/29/2025,Wednesday,January,2025,TRUE,9:15:00,15:30:00,TRADING,
1/30/2025,Thursday,January,2025,TRUE,9:15:00,15:30:00,TRADING,
1/31/2025,Friday,January,2025,TRUE,9:15:00,15:30:00,TRADING,
2/1/2025,Saturday,February,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
2/2/2025,Sunday,February,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
2/3/2025,Monday,February,2025,TRUE,9:15:00,15:30:00,TRADING,
2/4/2025,Tuesday,February,2025,TRUE,9:15:00,15:30:00,TRADING,
2/5/2025,Wednesday,February,2025,TRUE,9:15:00,15:30:00,TRADING,
2/6/2025,Thursday,February,2025,TRUE,9:15:00,15:30:00,TRADING,
2/7/2025,Friday,February,2025,TRUE,9:15:00,15:30:00,TRADING,
2/8/2025,Saturday,February,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
2/9/2025,Sunday,February,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
2/10/2025,Monday,February,2025,TRUE,9:15:00,15:30:00,TRADING,
2/11/2025,Tuesday,February,2025,TRUE,9:15:00,15:30:00,TRADING,
2/12/2025,Wednesday,February,2025,TRUE,9:15:00,15:30:00,TRADING,
2/13/2025,Thursday,February,2025,TRUE,9:15:00,15:30:00,TRADING,
2/14/2025,Friday,February,2025,TRUE,9:15:00,15:30:00,TRADING,
2/15/2025,Saturday,February,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
2/16/2025,Sunday,February,2025,FALSE,CLOSED,CLOSED,CLOSED,Weekend
